"sample","count","length","legal.sublegal","family","genus","species","project","campaignid"
"115","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"125","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"135","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"141","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"144","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"150","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"158","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"165","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"170","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"176","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"179","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"180","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"219","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"228","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"235","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"240","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"246","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"249","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"250","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"252","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"290","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"296","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"298","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"304","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"319","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"332","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"355","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"360","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"387","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"6","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"11","7","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"23","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"24","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"25","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"26","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"28","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"30","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"34","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"38","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"39","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"46","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"49","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"50","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"53","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"56","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"61","8","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"62","4","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"64","11","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"70","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"74","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"77","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"81","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"90","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"99","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"112","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"114","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"120","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"126","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"127","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"130","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"136","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"137","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"139","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"147","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"155","8","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"156","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"158","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"162","8","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"163","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"165","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"170","12","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"171","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"179","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"188","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"198","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"208","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"215","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"225","8","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"226","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"228","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"232","8","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"233","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"235","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"240","12","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"241","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"249","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"252","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"258","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"259","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"268","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"273","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"274","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"277","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"283","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"284","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"297","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"307","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"309","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"310","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"318","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"338","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"348","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"356","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"357","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"361","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"382","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"385","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"391","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"26","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"28","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"33","2","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"40","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"43","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"46","2","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"48","3","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"49","2","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"64","2","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"80","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"88","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"119","7","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"121","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"122","3","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"124","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"128","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"129","7","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"131","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"132","3","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"134","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"138","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"140","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"147","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"150","4","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"157","1","75","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
